% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
1.75	2	1	5	5	3	172	9351	172	9351	4.92109e-05	0.000137342	0	0.000564284	54.3663	237.983	2	2056	
2	2.25	1	1	1	3	159	10485	159	10485	3.78481e-05	0.000118304	0	0.000492856	65.9434	292.718	2	2167	
2	2.25	1	2	2	3	161	10656	161	10656	3.81543e-05	0.000120199	0	0.000510713	66.1863	291.61	2	2278	
2	2.25	1	3	3	3	155	11696	155	11696	3.48847e-05	0.00011678	0	0.00052857	75.4581	324.807	2	2167	
2	2.25	1	4	4	3	146	12233	146	12233	3.39775e-05	0.000109499	0	0.000492856	83.7877	340.603	2	2167	
2	2.25	1	5	5	3	149	12242	149	12242	4.61649e-05	0.000129498	0	0.000510713	82.1611	327.114	2	2167	
2.25	2.5	1	1	1	3	121	8076	121	8076	4.2621e-05	0.000124249	0	0.00052857	66.7438	289.604	2	2167	
2.25	2.5	1	2	2	3	83	8168	83	8168	7.67211e-05	0.000159561	0	0.000564284	98.4096	341.768	2	2334	
2.25	2.5	1	3	3	3	103	7372	103	7372	3.40499e-05	0.000110884	0	0.000439285	71.5728	316.596	2	2112	
2.25	2.5	1	4	4	3	101	7645	101	7645	2.98444e-05	0.000102295	0	0.000385714	75.6931	329.883	2	2167	
2.25	2.5	1	5	5	3	100	7587	100	7587	2.95e-05	0.000109253	0	0.000564284	75.87	330.826	2	2167	
